date,stars,text
9h ago,3.5,"Far removed from the original trilogy, but an interesting stepping stone in the story of the Skywalker family."
18h ago,3.5,"The plot is a bit childish, but it shows us a true origin, which, however criticized it may be, fulfills the fact that it shows us the bases of the events of the galactic empire, and the origin of the Jedi knights, however criticized it is the origin of great adventures. that are to come."
1d ago,3.5,Qui-Gon Jinn and Darth Maul are probably the best characters in this episode.
"Apr 16, 2021",1.5,"A boring mess with awful writing, awful acting and awful special effects so I'd have to say that overall it's a pretty awful movie."
"Apr 15, 2021",3,"The first time I watched it, I liked it. It has some flaws. But when I rewatched when I was older a lot of stuff bothered me. Young Anikan was very cringy, they spent to much time on Tatoine. The movie was Meh at best but this is not a good way to start watching Star Wars."
"Apr 15, 2021",3.5,"Yes the first chapter has some flaws, from the story to the cast choises, but it still is a enjoyable star wars story with some great action sequences."
"Apr 11, 2021",4,"Not bad by any means. Really doesn't deserve the hate that it gets. Solid plot, great action, and awesome characters... excluding Jar Jar. Definitely a good Star Wars movie."
"Apr 10, 2021",5,A guilty pleasure. Call me crazy but I love the prequels.
"Apr 07, 2021",1,"Everything wrong with Star Wars condensed into this film. Terrible plot, acting, characters, screenplay, costumes, genre. The whole thing is yet more Star Wars trash. Hard to sit through but I promised myself I would endure all these films so the marathon goes on. Four down. God this is painful."
"Apr 07, 2021",2.5,"I'm mixed on this one. It does have its fair share of problems. The dialogue, acting, overly political plot and jar jar binks. But the music, and special effects are out of this world for 1999. If you're here for a political drama with action, you might enjoy this alot. But if you're here for star wars, there isn't much compared to the original trilogy."
