date,stars,text
10h ago,2.5,"Better than Attack of the Clones, not as good as the Phantom Menace. A rushed end to the prequel trilogy, putting everybody into their original trilogy start positions."
18h ago,5,"A masterpiece, this installment is very key, it shows us the rise of the dark lord of the sith, as emperor and especially of anakin, his tragedy to become darth vader, the dark theme makes this movie perfect, the best of star wars, on par with the empire strikes back."
3d ago,5,Revenge of the sith of is really good 10/10 AAA movie really good music and memes came out of it and the youngling mass murder is hidden. but that's the ONLY ISSUE i have with it. unlike the trash bag that is the ENTIRE sequel trilogy. the prequel trilogy is amazing the original trilogy is good now. Revenge of the sith is about general grievous getting killed or arrested and stopping the clone wars and then well anakin loses a lot of midiclorins obi wan got offered death sticks and then made the offerer go home and then contemplate life but that was In attack of the clones.
"Apr 18, 2021",3,A considerable improvement over the two previous instalments in the trilogy.
"Apr 18, 2021",5,I really love this movie mainly because of anakins turn to the dark side was great. All the fights where impactful and the music really complemented the fights.
"Apr 17, 2021",5,"My personal favorite Star Wars movie and a major contender for the best one of the whole saga. The cinematography, the action, the acting is all top notch and the lightsaber fights are straight up a gift to mankind. An incredibly tragic story full of emotion and excitement. Truly a masterpiece."
"Apr 15, 2021",5,"Best Star Wars movie hands down! Acting, CGI, lightsaber fights, the love was a lot less corny, the action, even though you knew Vadar was going to turn to the dark side they did an amazing job showing that and putting you on edge. The best Star Wars movie and movie in general of all time!"
"Apr 15, 2021",4.5,"The perfect finale for a flawed trilogy.
This movies give us what we asked for in the prequels, the rise of the empire, the turning of the Anakin and one the best lightsaber fights in the saga."
"Apr 14, 2021",5,es una gran pelicula donde esta el inicio de darth vader
"Apr 10, 2021",5,Call me crazy but I love the prequels. A great conclusion (beginning?)
"Apr 09, 2021",1.5,"Better than all the preceding Star Wars films combined so it's worthy of about a three out of ten. Generally unwatchable, especially the first hour of the film. I found myself constantly distracted throughout waiting for the incredibly boring and incessant light sabre battles to end. There was a bit of plot development but really another episode of dross. Can't see myself ever enduring another of these films but who knows."
"Apr 08, 2021",5,"The greatest instalment in the Star Wars franchise to date. Full to the brim with emotion and outstanding action, it is the perfect conclusion to the Star Wars Saga. There are only really 6 films in the main Star Wars Story after all."
"Apr 07, 2021",5,"The final fights and ending of this movie are a work of art.  Easily the best Prequel, and a THOUSAND times better than any of the sequels."
"Apr 07, 2021",4.5,"Still better than anything disney put out 
(Except MAYBE rogue one)"
"Apr 06, 2021",5,This is where the fun begins
"Apr 03, 2021",5,This was the best Star Wars prequel EVER!
"Apr 01, 2021",4,"My favorite Star Wars movie, even if it's not objectively the best one."
"Apr 01, 2021",5,This whole movie is just objectively amazing! The fight scene between Anakin and Obi Wan is just great and it makes me cry every time Obi Wan says Anakin was his brother and he loved him. :(
"Mar 29, 2021",5,Absolute masterpiece
